修改跨服活动状态，活动id：	修改跨服活動狀態，活動id：
物资类型：	物資類型：
給予物品	給予物品
角色ID/昵称	角色ID/昵稱
道具名	道具名
数量	數量
请输入物资数量！	請輸入物資數量！
物资数量请输入正整数！	物資數量請輸入正整數！
封禁角色	封禁角色
角色id以逗号分隔	角色id以逗號分隔
封号原因	封號原因
帮派操作	幫派操作
封号反馈：	封號回饋：
请输入正整数	請輸入正整數
封禁角色个数超过200！请删减后在试！	封禁角色個數超過200！請刪減後在試！
封角色管理	封角色管理
封账号	封帳號
管理	管理
封禁类型：	封禁類型：
时长：	時長：
封禁原因：	封禁原因：
帮派操作：	幫派操作：
无	無
转移帮主	轉移幫主
封禁时间(分	封禁時間(分
封禁类型	封禁類型
封禁原因	封禁原因
账号封禁	帳號封禁
你是否确认解除该封禁！？	你是否確認解除該封禁！？
角色ID/昵称：	角色ID/昵稱：
物品ID：	物品ID：
物资数量：	物資數量：
给予结果：	給予結果：
状态：	狀態：
禁止/允许：	禁止/允許：
禁止	禁止
提交	提交
命令格式说明	命令格式說明
指令命	指令命
格式	格式
实例	實例
描述	描述
添加道具	添加道具
物品id，数量	物品id，數量
添加道具  1个	添加道具  1個
道具	道具
修改VIP等级	修改VIP等級
升到2级	升到2級
（毛）	（毛）
給玩家	給玩家
充值6元人民币（60元宝）	充值6元人民幣（60元寶）
把玩家	把玩家
踢掉线并从服务器缓存中移除	踢掉線,並從伺服器緩存中移除
命令	命令
命令：	命令：
充值礼包审核管理	充值禮包審核管理
产品名称	產品名稱
已经不是未审核状态！	已經不是未審核狀態！
充值管理	充值管理
充值类型	充數值型別
订单时间	訂單時間
订单号	訂單號
平台类型	平臺類型
人民币(分	人民幣(分
充值产品	充值產品
是否发货	是否發貨
缺省	缺省
奥飞	奧飛
禁言管理	禁言管理
时长	時長
发送	發送
封号结果	封號結果
禁言时间(分	禁言時間(分
禁言原因	禁言原因
解禁	解禁
你是否确认解除改角色封禁！？	你是否確認解除改角色封禁！？
解除！	解除！
请选择需要解封的角色！	請選擇需要解封的角色！
此网页使用了框架，但您的浏览器不支持框架。	此網頁使用了框架，但您的流覽器不支援框架。
活动开关	活動開關
服务器管理	伺服器管理
服务器常量	伺服器常量
预警设置	預警設置
玩家获取记录	玩家獲取記錄
账号信息查询	帳號資訊查詢
角色信息查询	角色資訊查詢
角色物品查询	角色物品查詢
角色属性查询	角色屬性查詢
角色背包查询	角色背包查詢
账号设备管理	帳號設備管理
添加物品	添加物品
扣除物品	扣除物品
指令	指令
禁封角色	禁封角色
禁封管理	禁封管理
禁止预定婚礼	禁止預定婚禮
充值礼包管理	充值禮包管理
充值礼包审核	充值禮包審核
角色禁言	角色禁言
邮件功能	郵件功能
全服发送邮件	全服發送郵件
公告设置	公告設置
游戏内公告管理	遊戲內公告管理
礼包	禮包
礼包管理	禮包管理
礼包码关闭	禮包碼關閉
首充重置管理	首充重置管理
运营活动	運營活動
操作记录	操作記錄
操作日志	操作日誌
展开	展開
收缩	收縮
命令日志	命令日誌
筛选	篩選
执行命令	執行命令
执行结果	執行結果
执行时间	執行時間
惊天岳雷	驚天岳雷
邮件任务删除功能	郵件任務刪除功能
邮件任务列表	郵件任務列表
定时发送	定時發送
全服发送邮件 (所有服 选项响应较慢	全服發送郵件 (所有服 選項回應較慢
玩家等级：	玩家等級：
开始时间：	開始時間：
结束时间：	結束時間：
发送玩家邮件	發送玩家郵件
角色ID/名称：	角色ID/名稱：
批量玩家邮件	批量玩家郵件
多个角色ID字母逗号分割	多個角色ID字母逗號分割
邮件主题：	郵件主題：
邮件内容：	郵件內容：
附件一：	附件一：
附件二：	附件二：
附件三：	附件三：
附件四：	附件四：
无附件	無附件
确定发送？	確定發送？
发送邮件	發送郵件
筛选条件	篩選條件
附件	附件
发送结果	發送結果
等级限制	等級限制
截止时间	截止時間
审核状态	審核狀態
默认	默認
待审核	待審核
已审核	已審核
发送失败	發送失敗
已发送	已發送
审核	審核
你是否确认删除所选数据！？	你是否確認刪除所選資料！？
申请状态不是未审核的状态！	申請狀態不是未審核的狀態！
你是否确认审核所选数据！？	你是否確認審核所選資料！？
审核！	審核！
请选择需要审核的信息！	請選擇需要審核的資訊！
你没有权限进行发送该操作！	你沒有許可權進行發送該操作！
该	該
申请状态不是已审核的状态！	申請狀態不是已審核的狀態！
你是否确认发送所选数据！？	你是否確認發送所選資料！？
发送！	發送！
请选择需要发送的信息！	請選擇需要發送的資訊！
邮件主题不能为空！	郵件主題不能為空！
邮件内容不能为空！	郵件內容不能為空！
邮件主题不能超过50个字符！	郵件主題不能超過50個字元！
邮件内容长度不能超过500个字符！	郵件內容長度不能超過500個字元！
请输入合法的角色id！	請輸入合法的角色id！
超过200个角色， 请合法输入！	超過200個角色， 請合法輸入！
新增游戏内公告	新增遊戲內公告
公告主题	公告主題
间隔时间过长！	間隔時間過長！
通知主题内容过长，不能超过40个字符 ！	通知主題內容過長，不能超過40個字元 ！
通知内容过长，不能超过250个字符 ！	通知內容過長，不能超過250個字元 ！
开始时间不能为空！	開始時間不能為空！
结束时间不能为空！	結束時間不能為空！
结束时间应当大于开始时间！	結束時間應當大於開始時間！
请输入间隔时间！	請輸入間隔時間！
请输入主题！	請輸入主題！
请输入通知内容！	請輸入通知內容！
游戏内公告管理 (选择多个删除时请求多个服务器等待更久	遊戲內公告管理 (選擇多個刪除時請求多個伺服器,等待更久
公告方式	公告方式
显示方式	顯示方式
间隔	間隔
主题	主題
内容	內容
弹出公告	彈出公告
时间安排播放	時間安排播放
置顶	置頂
聊天栏	聊天欄
请选择一个公告进行编辑！	請選擇一個公告進行編輯！
编辑更新公告	編輯更新公告
标题内容过长，54个字符 ！	標題內容過長，54個字元 ！
通知内容过长，54个字符 ！	通知內容過長，54個字元 ！
通知内容过长，1998个字符 ！	通知內容過長，1998個字元 ！
新增更新公告	新增更新公告
大区选择	大區選擇
全选	全選
反选	反選
个字符以内	個字元以內
通知内容过长，1000个字符 ！	通知內容過長，1000個字元 ！
标题内容过长，50个字符 ！	標題內容過長，50個字元 ！
请选择对应大区！	請選擇對應大區！
请输入通知或标题内容！	請輸入通知或標題內容！
公告编号长度超过限制！	公告編號長度超過限制！
请输入正整数的编号！	請輸入正整數的編號！
更新公告管理	更新公告管理
公告编号	公告編號
公告标题	公告標題
公告内容	公告內容
公告类型	公告類型
更新时间	更新時間
公告	公告
活动	活動
新增问卷	新增問卷
标题	標題
问卷管理	問卷管理
问卷标题	問標籤題
问卷	問卷
开始时间	開始時間
结束时间	結束時間
你是否确认解除该问卷！？	你是否確認解除該問卷！？
请输入搜索条件！	請輸入搜索條件！
首充重置	首充重置
请选择对应服务器！	請選擇對應伺服器！
重置首充管理	重置首充管理
操作时间	操作時間
惊天岳雷中控后台	驚天岳雷中控後臺
账号名：	帳號名：
账户名	帳戶名
玩家	玩家
战斗力	戰鬥力
物理攻击	物理攻擊
物理防御	物理防禦
魔法攻击	魔法攻擊
魔法防御	魔法防禦
血量	血量
最大血量	最大血量
魔法	魔法
最大魔法	最大魔法
命中	命中
躲闪	躲閃
暴击	暴擊
韧性	韌性
必杀	必殺
格挡	格擋
物品	物品
物品呢称	物品呢稱
物品等级	物品等級
物品数量	物品數量
容器类型	容器類型
背包	背包
装备栏	裝備欄
农场	農場
玩家充值查询	玩家充值查詢
订单ID：	訂單ID：
查询条数	查詢條數
订单	訂單
金额(分	金額(分
发起状态	發起狀態
发货状态	發貨狀態
中控服订单	中控服訂單
发起	發起
成功	成功
未发货	未發貨
已发货	已發貨
游戏服订单	遊戲服訂單
空	空
请选择对应的服务器！	請選擇對應的伺服器！
请输入任一一个查询条件订单	請輸入任一一個查詢準則
只能根据 角色id	只能根據 角色id,訂單
其中一个查询	其中一個查詢
请输入正整数！	請輸入正整數！
查询条数请输入1-50的数字	查詢條數請輸入1-50的數位
首页	首頁
上一页	上一頁
下一页	下一頁
尾页	尾頁
跳转	跳轉
共	共
条	條
已到尾页	已到尾頁
前面没有了	前面沒有了
已是首页	已是首頁
已是尾页！	已是尾頁！
已是该页面！	已是該頁面！
您输入的页码有误！	您輸入的頁碼有誤！
新增角色白名单	新增角色白名單
支持开始数字定位	支援開始數字定位
反馈：	回饋：
角色ID不能为空	角色ID不能為空
请输入合法的角色ID！	請輸入合法的角色ID！
内服管理	內服管理
备注	備註
内服监控	內服監控
大区	大區
玩家昵称	玩家昵稱
玩家等级	玩家等級
内部备注	內部備註
累计发放	累計發放
摆摊预警	擺攤預警
报警备注	報警備註
添加时间	添加時間
确定	確定
【系统】	【系統】
；	；
大区ID：	大區ID：
角色ID查询：	角色ID查詢：
角色状态：	角色狀態：
封禁	封禁
摆摊预警：	擺攤預警：
所有	所有
预警	預警
角色呢称：	角色呢稱：
呢称	呢稱
游戏币	遊戲幣
元宝	元寶
绑定元宝	綁定元寶
等级	等級
创建时间	創建時間
最后登录时间	最後登錄時間
是否在线	是否線上
账号状态	帳號狀態
查看详情	查看詳情
在线	線上
离线	離線
封号	封號
禁言	禁言
查询详情	查詢詳情
请选择需要查询的信息！	請選擇需要查詢的資訊！
其它	其它
武器	武器
衣服	衣服
帽子	帽子
腰带	腰帶
护手	護手
鞋子	鞋子
项链	項鍊
戒指	戒指
护符	護符
手镯	手鐲
地址：	地址：
帮派：	幫派：
加入时间：	加入時間：
级	級
装备栏：	裝備欄：
强化：	強化：
装备名：	裝備名：
镶嵌宝石：	鑲嵌寶石：
宠物id：	寵物id：
升星：	升星：
技能：	技能：
将灵：	將靈：
等级：	等級：
军阶：	軍階：
战力：	戰力：
下级战力：	下級戰力：
坐骑：	坐騎：
行全选：	行全選：
隐藏服务器	隱藏伺服器
显示服务器	顯示伺服器
角色ID：	角色ID：
查询	查詢
是否修改	是否修改
无设备	無設備
未修改	未修改
已修改	已修改
修改	修改
修改账号登录设备	修改帳號登錄設備
账号	帳號
设备	設備
搜索条件	搜索條件
请选择服务器	請選擇伺服器
玩家名称	玩家名稱
预警内容	預警內容
提审服版本	提審服版本
和提审服版本相同的客户端在服务器列表中只能看到提审服，版本正式上架时，请清空提审服版本	和提審服版本相同的用戶端在伺服器列表中只能看到提審服，版本正式上架時，請清空提審服版本
客户端版本：	用戶端版本：
编辑渠道服务器信息	編輯管道伺服器資訊
这行将给所有的tr加上背景色	這行將給所有的tr加上背景色
这个将是鼠标高亮行的背景色	這個將是滑鼠高亮行的背景色
渠道服务器管理	管道伺服器管理
渠道服务器名	管道伺服器名
的表格的tr上时，执行函数	的表格的tr上時，執行函數
的表格的偶数行添加class值为	的表格的偶數行添加class值為
每页显示几条记录	每頁顯示幾條記錄
超过字数限制，多出的字将被截断！	超過字數限制，多出的字將被截斷！
请输入渠道分区名称！	請輸入管道分區名稱！
编辑渠道分区信息	編輯管道分區資訊
渠道分区名过长，不能超过500个字符 ！	管道分區名過長，不能超過500個字元 ！
请选择对应渠道 ！	請選擇對應管道 ！
请输入渠道服务器名称！	請輸入管道伺服器名稱！
渠道分区管理	管道分區管理
渠道	管道
渠道分区名	管道分區名
检查游戏服连接	檢查遊戲服連接
游戏服重启后，检查中控与游戏服的连接状态是否正常	遊戲服重啟後，檢查中控與遊戲服的連接狀態是否正常
所有服	所有服
是否开始检查？	是否開始檢查？
开始检查	開始檢查
新增常量	新增常量
常量名称	常量名稱
请输入常量名！	請輸入常量名！
请输入常量值！	請輸入常量值！
服务器常量管理	伺服器常量管理
例子：系统邮件发件人：	例子：系統郵件寄件者：
×××项目组	×××項目組
常量名	常量名
常量值	常量值
你是否确认解除该常量！？	你是否確認解除該常量！？
白名单IP （选择全服时，响应较久）	白名單IP （選擇全服時，回應較久）
地址（一行一个）：	位址（一行一個）：
地址	地址
全服	全服
关服前，请先到服务器编辑哪里把服务器状态置为未开启或维护中状态，再踢用户下线，然后关闭服务器进程	關服前，請先到伺服器編輯哪裡把伺服器狀態置為未開啟或維護中狀態，再踢使用者下線，然後關閉伺服器進程
服务器：	伺服器：
玩家提示：	玩家提示：
是否要踢玩家下线？	是否要踢玩家下線？
踢玩家下线	踢玩家下線
结果：	結果：
批量修改服务器状态	批量修改伺服器狀態
全选：	全選：
编辑服务器信息	編輯伺服器資訊
服务器	伺服器
服务器名	伺服器名
正常游戏服	正常遊戲服
跨服服务器（不显示）	跨服伺服器（不顯示）
公网ip或域	公網ip或域
跨服端口 (跨服请填	跨服埠 (跨服請填
是否隐藏	是否隱藏
游戏服列表（隔开）	遊戲服列表（,隔開）
是否开启充值	是否開啟充值
是否开启白名单	是否開啟白名單
是否允许创建角色	是否允許創建角色
允许	允許
不允许	不允許
最大登录人数	最大登錄人數
每秒登录人数	每秒登錄人數
达到限制等待秒数	達到限制等待秒數
推荐人数上限	推薦人數上限
是否推荐	是否推薦
不推荐	不推薦
说明	說明
请输入服务器ID！	請輸入伺服器ID！
请输入服务器名！	請輸入伺服器名！
请输入公网ip或域	請輸入公網ip或域
请输入服务器ip地址	請輸入伺服器ip位址
请输入说明！	請輸入說明！
服务器id过长！	伺服器id過長！
服务器名过长！	伺服器名過長！
合服id过长！	合服id過長！
端口值非法！	埠值非法！
每秒登录人数过大！	每秒登錄人數過大！
等待人数设置过大！	等待人數設置過大！
推荐权重过大！	推薦權重過大！
最大登录人数过大！	最大登錄人數過大！
游戏服务器管理	遊戲伺服器管理
名称	名稱
类型	類型
合服	合服
公网	公網
内网	內網
端口	埠
状态	狀態
充值	充值
白名单	白名單
创角	創角
登录上限	登錄上限
每秒上限	每秒上限
等待秒数	等待秒數
推荐权重	推薦權重
推荐上限	推薦上限
跨服开关	跨服開關
开服时间	開服時間
关服提示	關服提示
游戏服	遊戲服
提审服	提審服
跨服	跨服
未开启	未開啟
维护中	維護中
正常	正常
火爆	火爆
推荐	推薦
新服	新服
显示	顯示
隐藏	隱藏
你是否确认删除该条数据！？	你是否確認刪除該條資料！？
删除成功！	刪除成功！
请选择需要删除的信息！	請選擇需要刪除的資訊！
新增活动	新增活動
材料类型	材料類型
材料内容	材料內容
预警值	預警值
请输入合法整数！	請輸入合法整數！
预警记录	預警記錄
服务器名称	伺服器名稱
玩家名	玩家名
角色	角色
时间	時間
获取信息	獲取資訊
你是否确认解除该活动！？	你是否確認解除該活動！？
请选择删除的活动！	請選擇刪除的活動！
游戏分区管理	遊戲分區管理
新增/编辑分区	新增/編輯分區
分区	分區
分区名称	分區名稱
操作	操作
是否要删除？	是否要刪除？
分区ID不能为空！	分區ID不能為空！
分区名称不能为空！	分區名稱不能為空！
查询结果：	查詢結果：
服务器列表：	伺服器列表：
设置参数：	設置參數：
设置	設置
错误的服务器：	錯誤的伺服器：
尊敬的	尊敬的
您好！	您好！
退出	退出
已开启	已開啟
已关闭	已關閉
开启	開啟
关闭	關閉
默认旧密码	預設舊密碼
新增用户	新增用戶
密码	密碼
确认密码	確認密碼
用户类型	用戶類型
生效	生效
不生效	不生效
区	區
已存在！	已存在！
保存	保存
返回	返回
请输入密码！	請輸入密碼！
请输入合法的用户名！	請輸入合法的用戶名！
密码不一致，请重新输入	密碼不一致，請重新輸入
用户管理	用戶管理
用户名	用戶名
角色类型	角色類型
是否生效	是否生效
创建者	創建者
对应渠道权限	對應管道許可權
管理员	管理員
用户	用戶
普通用户	普通用戶
已生效	已生效
未生效	未生效
新增	新增
编辑	編輯
删除	刪除
请选择需要编辑的信息！	請選擇需要編輯的資訊！
管理员不能被删除！	管理員不能被刪除！
你是否确认解除该用户！？	你是否確認解除該用戶！？
删除！	刪除！
请选择删除的用户！	請選擇刪除的用戶！
